0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
-3.6950195,-0.9596061,3.383165,0.2414393,1.189099,-0.6577182,-3.8337247,-0.5487165,3.2857625,-0.9226944,1.7816627,1.4488318,-4.0,-1.3,4.0
-3.7703233,-0.9705404,3.4475548,0.22321044,1.2229694,-0.6286454,-3.6961744,-0.5451009,3.152435,-0.8988436,1.605043,1.4573845,-4.0,-1.3,4.0
-3.8428438,-0.98142415,3.5092328,0.20558584,1.253247,-0.5994748,-3.5552688,-0.54358786,3.0146766,-0.8606279,1.4219911,1.4582953,-4.0,-1.3,4.0
-3.9125073,-0.99229527,3.5681164,0.18890134,1.2798651,-0.57039034,-3.4103894,-0.5437779,2.8731008,-0.8055187,1.2402865,1.4475098,-4.0,-1.3,4.0
-3.9792316,-1.0031843,3.6241343,0.17341289,1.302873,-0.541701,-3.261342,-0.5453321,2.7281563,-0.74259126,1.0609709,1.4183873,-4.0,-1.3,4.0
-4.042933,-1.0141156,3.6772232,0.159201,1.3223268,-0.5137636,-3.108097,-0.54794234,2.5802588,-0.67956513,0.8846152,1.3728273,-4.0,-1.3,4.0
-4.103528,-1.0251071,3.7273278,0.14616677,1.3382369,-0.48687357,-2.950728,-0.5513128,2.4298277,-0.6256129,0.70538133,1.314846,-4.0,-1.3,4.0
-4.1609344,-1.0361712,3.7744024,0.13410997,1.3504764,-0.4611914,-2.7892504,-0.55513936,2.2773402,-0.5823366,0.516316,1.2529038,-4.0,-1.3,4.0
-4.2150717,-1.0473136,3.8184109,0.12275727,1.3588223,-0.43679053,-2.623837,-0.5590942,2.1232958,-0.5552788,0.31813756,1.1859841,-4.0,-1.3,4.0
-4.2658615,-1.0585334,3.8593278,0.11184267,1.3632212,-0.41377848,-2.45451,-0.5628228,1.9682955,-0.5373367,0.122192085,1.1153872,-4.0,-1.3,4.0
-4.3132257,-1.0698225,3.8971405,0.101224884,1.3637347,-0.39215326,-2.2812715,-0.565968,1.8129848,-0.5252936,-0.06975849,1.0474769,-4.0,-1.3,4.0
-4.357085,-1.081166,3.93185,0.090799786,1.3604988,-0.3718498,-2.1040053,-0.5681871,1.6580701,-0.51775026,-0.2528273,0.98424476,-4.0,-1.3,4.0
-4.3973603,-1.0925418,3.9634705,0.0805174,1.3536034,-0.35273716,-1.9228655,-0.5691548,1.5042257,-0.5107035,-0.43677187,0.9277459,-4.0,-1.3,4.0
-4.4339747,-1.1039219,3.9920309,0.07035644,1.343104,-0.33472478,-1.7380046,-0.56856996,1.3521718,-0.50531584,-0.6104216,0.8736444,-4.0,-1.3,4.0
